team,sport,wins,losses,pct,source,players
New Fairfield,boys-basketball,13,10,0.565,ciac,[]
New Fairfield,girls-basketball,6,15,0.286,ciac,[]
New London,boys-basketball,14,3,0.824,ciac,[]
New London,girls-basketball,15,6,0.714,ciac,[]
New Milford,boys-basketball,9,13,0.409,ciac,[]
New Milford,girls-basketball,10,12,0.455,ciac,[]
New Mission High School,boys-basketball,0,0,0.0,none,[]
Newington,girls-basketball,9,12,0.429,ciac,[]
Newington,boys-basketball,19,4,0.826,ciac,[]
Newtown,girls-basketball,13,8,0.619,ciac,[]
Newtown,boys-basketball,13,9,0.591,ciac,[]
Nonnewaug,boys-basketball,19,3,0.864,ciac,[]
Nonnewaug,girls-basketball,15,7,0.682,ciac,[]
North Branford,boys-basketball,14,8,0.636,ciac,[]
North Branford,girls-basketball,17,7,0.708,ciac,[]
North Haven,boys-basketball,19,1,0.95,ciac,[]
North Haven,girls-basketball,18,5,0.783,ciac,[]
North Kingstown High School,girls-basketball,0,0,0.0,none,[]
Northwest Catholic,boys-basketball,20,3,0.87,ciac,[]
Northwest Catholic,girls-basketball,24,0,1.0,ciac,[]
Northwestern,boys-basketball,12,11,0.522,ciac,[]
Northwestern,girls-basketball,9,12,0.429,ciac,[]
Norwalk,girls-basketball,3,17,0.15,ciac,[]
Norwalk,boys-basketball,6,14,0.3,ciac,[]
Norwich Tech,boys-basketball,6,14,0.3,ciac,[]
Norwich Tech,girls-basketball,17,7,0.708,ciac,[]
Notre Dame Prep,girls-basketball,0,0,0.0,none,[]
Notre Dame Prep,boys-basketball,0,0,0.0,none,[]
Notre Dame-West Haven,boys-basketball,17,0,1.0,ciac,[]
Notre Dame-West Haven,girls-basketball,0,0,0.0,ciac,[]
O'Brien Tech,boys-basketball,10,13,0.435,ciac,[]
O'Brien Tech,girls-basketball,2,19,0.095,ciac,[]
Old Saybrook,girls-basketball,5,15,0.25,ciac,[]
Old Saybrook,boys-basketball,11,12,0.478,ciac,[]
Olympia High School,boys-basketball,0,0,0.0,none,[]
Oxford,boys-basketball,6,14,0.3,ciac,[]
Oxford,girls-basketball,10,12,0.455,ciac,[]
Parish Hill,boys-basketball,0,0,0.0,none,[]
Parish Hill,girls-basketball,0,0,0.0,none,[]
Pittsfield High School,girls-basketball,0,0,0.0,none,[]
Plainfield,boys-basketball,14,8,0.636,ciac,[]
Plainfield,girls-basketball,20,4,0.833,ciac,[]
Plainville,boys-basketball,3,17,0.15,ciac,[]
Plainville,girls-basketball,15,9,0.625,ciac,[]
Platt,girls-basketball,10,12,0.455,ciac,[]
Platt,boys-basketball,18,4,0.818,ciac,[]
Platt Tech,boys-basketball,7,13,0.35,ciac,[]
